,XOM_adjOpen,COP_adjOpen,CVX_adjOpen,TTE_adjOpen,OXY_adjOpen,XOM_adjClose,COP_adjClose,CVX_adjClose,TTE_adjClose,OXY_adjClose
2016-07-28 00:00:00+00:00,67.7274384613,34.7549470534,79.1971892709,34.8167180127,57.813670909,67.4731052486,34.7635818228,78.9644617091,34.4529829729,57.915538315
2016-07-29 00:00:00+00:00,65.535684599,34.3404781196,77.9870059497,34.4093347681,57.5315765537,66.5380566725,35.2471289123,79.4997351012,34.9913108318,58.5580865685
2016-08-01 00:00:00+00:00,65.8872628636,34.8931033646,78.607612781,34.5257299809,58.2995000763,64.2266165925,34.2023218083,76.8854288239,33.9219298147,57.664787777
2016-08-02 00:00:00+00:00,64.6679595204,34.3750171974,77.203489825,34.0819732323,57.9547180866,65.1093024483,34.3577476585,77.2577929228,33.9801274211,57.2964979244
2016-08-03 00:00:00+00:00,65.0868612825,34.3836519668,77.3043384351,33.6600405861,57.6177720512,65.4459199357,34.8067556701,78.0490666328,34.0019515235,58.2838281676
2016-08-04 00:00:00+00:00,65.4534003243,34.6858688977,77.7930663148,34.0819732323,57.9938978581,65.4384395471,34.6254255115,77.8783997542,34.1474455394,58.1819607616
2016-08-05 00:00:00+00:00,65.6254492623,34.7894861312,78.3438548777,34.5402793825,58.14278099,65.4982826559,35.0571639843,77.9714907789,34.6130263904,57.7353113658
2016-08-08 00:00:00+00:00,65.8648216978,35.3852852235,78.3438548777,34.5693781856,58.1349450357,66.2687626826,35.8861018519,78.5067641709,34.5839275872,58.268156259
2016-08-09 00:00:00+00:00,66.2912038484,36.041527702,79.0110072214,34.984036131,58.518906797,66.3510469573,35.6097892293,78.5998551956,34.8821903199,57.7353113658
2016-08-10 00:00:00+00:00,66.2327752697,35.7911193879,78.8558555136,35.1731783518,57.9860619038,65.1990671116,35.0571639843,77.6844601193,34.7221469024,57.4140372391
2016-08-11 00:00:00+00:00,65.4103359322,35.2212246039,78.0800969744,34.8967397215,57.8606866348,65.4329718773,35.7393107711,78.6619158788,35.1368048478,58.1819607616
2016-08-12 00:00:00+00:00,65.6140594379,35.8774670824,78.9256737821,35.1222554462,58.3465158021,66.2855924749,35.7220412322,79.2514923686,35.1731783518,58.3465158021
